strId              count           possiblyCount
48738            9            39232            
2496            7            39233            
131456            1            672784            
116532            1            672784            
19188            5            39233            
96044            8            672784            
48782            28            39232            
3588            26            39233            
47902            1            39232            
35464            84            672784            
29588            7            672784            
38636            1944            672784            
46774            4            672783            
47476            238            672784            
48580            9            39232            
50700            2912            672784            
46361            1            672783            
40664            52            39233            
11908            14            672784            
95004            3            672784            
10920            139            39233            
10920            2737            672784            
14248            144            39233            
130364            51            39233            
120380            2            672784            
102544            1            672784            
48522            3            39232            
36            26            672785            
80184            33            672784            
80028            1            672784            
83616            276            672784            
32708            66            672784            
59124            95            672784            
62036            1            39233            
54392            483            672784            
43524            436            672784            
416            66            39233            
89284            19            672784            
32656            3997            672784            
58292            71            672784            
51268            3            39232            
43056            2            39233            
92248            1            672784            
74932            1396            672784            
4212            30            672784            
38116            35            39233            
46618            6            39232            
24388            399            672784            
48672            17            39233            
8476            15            39233            
9            9592            672785            
82628            4            672784            
85332            978            672784            
676            281            39233            
7020            80            672784            
93548            1            672784            
83876            2            39233            
46203            1            672783            
45500            234            672784            
48774            4            672783            
5            16380            672785            
43108            455            672784            
9048            16            39233            
83148            42            672784            
6344            23            39233            
51272            39            672784            
30472            2            672784            
130052            4696            672784            
130832            9760            672784            
22            77            39234            
52            10            672784            
46820            8            39232            
35            53            672785            
6240            301            672784            
80600            1384            672784            
85592            208            672784            
35724            22            672784            
120328            3            672784            
12064            4            39233            
27            1511            672785            
26624            9            672784            
48066            207            672783            
119652            1            672784            
15548            577            672784            
7748            7            672784            
47788            898            672784            
83876            23            672784            
74880            2            39233            
46832            1            39232            
39416            14            39233            
35776            17            672784            
88556            8            672784            
23972            12            39233            
59280            5            39233            
24            76            39234            
79768            5            672784            
15652            84            39233            
46199            5            672783            
35620            1            672784            
47858            2            672783            
27092            1            672784            
45136            5328            672784            
36140            39            672784            
48273            1            39232            
46157            3            672783            
15860            7930            672784            
43732            5            672784            
10660            2576            672784            
49344            1            39232            
31            127            39234            
46823            15            672783            
43            9            672785            
79508            4718            672784            
5356            3702            672784            
120640            5            672784            
46280            84            672784            
49290            15            672783            
46038            5            672783            
23816            41            39233            
45240            8            39233            
49496            186            672783            
67860            9            39233            
46176            120            39233            
51792            1            39233            
46595            7            39232            
49452            1942            672784            
46180            604            672783            
31980            6            672784            
38376            18            39233            
23            4595            672785            
48064            1            672783            
78312            5            672784            
46195            3            39232            
46338            6            672783            
51270            228            39232            
29952            1450            672784            
24284            247            672784            
3120            1            672784            
48590            4            672783            
1404            10            39233            
3484            1413            672784            
127260            4            39232            
8216            37            39233            
14092            157            672784            
12064            182            672784            
52000            6            672784            
80912            1            672784            
48270            1            39232            
48275            7            672783            
131352            4            39233            
39936            234            39233            
49291            1            672783            
34580            2            672784            
40976            18            39233            
35568            1393            672784            
40612            119            672784            
68796            4            672784            
50700            184            39233            
24128            66            39233            
55328            30            39233            
48581            1            39232            
49344            13            672783            
46153            23            672783            
86580            128            672784            
53612            5            39233            
54340            442            672784            
46178            73            672783            
66976            20            39233            
1            45176            672785            
48577            25            672783            
18824            400            672784            
133380            30            39233            
67392            183            672784            
39728            160            39233            
51374            29            672783            
38428            121            672784            
8580            67            672784            
35100            43            672784            
22464            1            39233            
130104            9600            672784            
42380            809            39233            
49342            414            672783            
36088            1            672784            
14612            27            39233            
46446            1            39232            
38428            7            39233            
31772            2708            672784            
69732            2            39233            
48465            17            672783            
50284            1            672784            
48258            6            672783            
11856            104            672784            
48549            26            672783            
884            466            672784            
32032            4            39233            
77896            34            39233            
24596            1803            672784            
3640            2            39233            
116376            1            39233            
46775            1            672783            
34164            2            39233            
14            975            39234            
11076            3            672784            
30108            65            39233            
5512            1            39233            
97136            3            672784            
56680            4            672784            
48678            2            39232            
